IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
43.154.96.33,443,443,true,HKG,Asia Pacific,Hong Kong,49,41.75
34.102.111.127,443,443,true,LAX,North America,Los Angeles,195,17.90
91.149.239.198,443,443,true,LAX,North America,Los Angeles,145,13.97
172.82.16.99,443,443,true,LAX,North America,Los Angeles,153,11.56
213.183.48.227,443,443,true,DME,Europe,Moscow,127,10.90
91.149.239.70,443,443,true,LAX,North America,Los Angeles,200,10.56
193.176.153.148,443,443,true,CDG,Europe,Paris,239,10.28
107.173.83.252,443,443,true,SJC,North America,San Jose,149,9.84
23.94.214.169,443,443,true,SJC,North America,San Jose,162,9.68
154.17.25.65,443,443,true,LAX,North America,Los Angeles,156,9.51
3.123.255.167,443,443,true,FRA,Europe,Frankfurt,178,8.77
129.146.133.33,443,443,true,LAX,North America,Los Angeles,171,8.75
44.241.54.108,443,443,true,SEA,North America,Seattle,157,8.72
3.67.127.222,443,443,true,FRA,Europe,Frankfurt,170,8.41
35.198.132.113,443,443,true,FRA,Europe,Frankfurt,215,8.24
51.20.133.131,443,443,true,AMS,Europe,Amsterdam,201,8.15
13.60.21.15,443,443,true,AMS,Europe,Amsterdam,204,7.74
154.16.16.24,443,443,true,AMS,Europe,Amsterdam,238,7.62
91.149.239.122,443,443,true,LAX,North America,Los Angeles,179,7.21
34.154.188.100,443,443,true,FRA,Europe,Frankfurt,212,6.84
130.61.192.131,443,443,true,FRA,Europe,Frankfurt,238,6.73
34.89.217.124,443,443,true,FRA,Europe,Frankfurt,218,6.70
185.9.55.142,443,443,true,RIX,Europe,Riga,241,6.49
184.95.40.67,443,443,true,PHX,North America,Phoenix,185,6.37
34.89.237.229,443,443,true,ZRH,Europe,Zurich,252,6.25
34.159.120.3,443,443,true,FRA,Europe,Frankfurt,245,6.22
3.67.25.193,443,443,true,FRA,Europe,Frankfurt,179,6.18
20.52.251.165,443,443,true,FRA,Europe,Frankfurt,240,6.16
34.154.217.137,443,443,true,FRA,Europe,Frankfurt,264,6.06
91.201.25.200,443,443,true,AMS,Europe,Amsterdam,238,6.06
217.160.248.11,443,443,true,MAD,Europe,Madrid,278,6.04
8.219.144.168,443,443,true,SIN,Asia Pacific,Singapore,245,5.99
132.145.236.199,443,443,true,FRA,Europe,Frankfurt,264,5.83
185.8.60.113,443,443,true,FRA,Europe,Frankfurt,231,5.77
34.154.175.141,443,443,true,FRA,Europe,Frankfurt,257,5.73
103.182.97.12,443,443,true,SJC,North America,San Jose,144,5.71
130.162.182.125,443,443,true,FRA,Europe,Frankfurt,269,5.63
37.1.194.7,443,443,true,FRA,Europe,Frankfurt,260,5.61
34.159.79.27,443,443,true,FRA,Europe,Frankfurt,239,5.55
34.91.56.44,443,443,true,FRA,Europe,Frankfurt,254,5.51
18.197.218.69,443,443,true,FRA,Europe,Frankfurt,210,5.46
80.76.34.121,443,443,true,AMS,Europe,Amsterdam,207,5.23
34.154.29.165,443,443,true,ZRH,Europe,Zurich,275,5.18
80.158.63.104,443,443,true,MXP,Europe,Milan,270,5.16
45.81.227.122,443,443,true,AMS,Europe,Amsterdam,267,5.00
130.162.60.1,443,443,true,FRA,Europe,Frankfurt,264,4.98
193.123.33.11,443,443,true,FRA,Europe,Frankfurt,272,4.96
34.141.52.103,443,443,true,FRA,Europe,Frankfurt,255,4.86
95.164.8.31,443,443,true,TLL,Europe,Tallinn,293,4.85
143.47.240.241,443,443,true,FRA,Europe,Frankfurt,271,4.82
34.159.143.68,443,443,true,FRA,Europe,Frankfurt,246,4.81
91.90.193.24,443,443,true,GVA,Europe,Geneva,221,4.74
141.148.224.110,443,443,true,FRA,Europe,Frankfurt,294,4.71
34.154.126.24,443,443,true,FRA,Europe,Frankfurt,231,4.60
47.254.174.143,443,443,true,DUS,Europe,Düsseldorf,267,4.57
141.147.76.145,443,443,true,FRA,Europe,Frankfurt,283,4.54
150.136.61.148,443,443,true,IAD,North America,Ashburn,222,4.45
147.45.41.209,443,443,true,FRA,Europe,Frankfurt,224,4.43
20.33.18.23,443,443,true,MXP,Europe,Milan,300,4.37
147.45.75.8,443,443,true,AMS,Europe,Amsterdam,251,4.35
150.230.21.92,443,443,true,FRA,Europe,Frankfurt,306,4.31
80.76.34.13,443,443,true,AMS,Europe,Amsterdam,222,4.27
130.61.176.29,443,443,true,FRA,Europe,Frankfurt,264,4.22
34.141.71.224,443,443,true,FRA,Europe,Frankfurt,254,4.15
150.230.127.76,443,443,true,FRA,Europe,Frankfurt,271,4.11
155.248.196.123,443,443,true,YVR,North America,Vancouver,139,4.06
168.63.151.56,443,443,true,HKG,Asia Pacific,Hong Kong,110,4.01
3.135.41.11,443,443,true,ORD,North America,Chicago,186,3.95
192.9.177.204,443,443,true,SYD,Oceania,Sydney,291,3.92
77.223.96.232,443,443,true,DME,Europe,Moscow,250,3.91
141.148.232.124,443,443,true,FRA,Europe,Frankfurt,270,3.89
147.45.72.18,443,443,true,AMS,Europe,Amsterdam,273,3.88
45.85.93.51,443,443,true,MXP,Europe,Milan,189,3.75
45.32.228.75,443,443,true,SEA,North America,Seattle,166,3.73
34.90.243.202,443,443,true,FRA,Europe,Frankfurt,260,3.67
34.147.0.100,443,443,true,FRA,Europe,Frankfurt,261,3.66
141.144.204.254,443,443,true,FRA,Europe,Frankfurt,266,3.60
154.23.247.116,443,443,true,LAX,North America,Los Angeles,141,3.53
45.82.80.92,443,443,true,ARN,Europe,Stockholm,276,3.43
45.85.93.49,443,443,true,MXP,Europe,Milan,216,3.42
158.178.192.221,443,443,true,CDG,Europe,Paris,238,3.28
34.154.117.59,443,443,true,FRA,Europe,Frankfurt,252,3.28
34.141.22.157,443,443,true,FRA,Europe,Frankfurt,256,3.27
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,278,3.26
34.107.24.193,443,443,true,FRA,Europe,Frankfurt,243,3.25
193.123.57.18,443,443,true,FRA,Europe,Frankfurt,276,3.16
35.247.124.181,443,443,true,SEA,North America,Seattle,207,3.15
176.57.221.68,443,443,true,FRA,Europe,Frankfurt,315,3.12
13.50.233.74,443,443,true,AMS,Europe,Amsterdam,191,3.05
54.194.162.247,443,443,true,DUB,Europe,Dublin,201,3.03
217.151.229.52,443,443,true,FRA,Europe,Frankfurt,307,2.93
217.196.106.121,443,443,true,TLL,Europe,Tallinn,259,2.93
34.107.61.93,443,443,true,FRA,Europe,Frankfurt,229,2.92
89.208.104.241,443,443,true,FRA,Europe,Frankfurt,194,2.87
188.132.183.136,443,443,true,IST,Europe,Istanbul,216,2.76
45.60.186.91,443,443,true,NRT,Asia Pacific,Tokyo,58,2.74
142.93.141.178,443,443,true,AMS,Europe,Amsterdam,251,2.72
45.61.161.237,443,443,true,FRA,Europe,Frankfurt,277,2.71
45.159.208.139,443,443,true,SJC,North America,San Jose,155,2.63
104.248.100.121,443,443,true,FRA,Europe,Frankfurt,297,2.61
157.245.27.205,443,443,true,FRA,Europe,Frankfurt,277,2.61
51.38.98.202,443,443,true,FRA,Europe,Frankfurt,282,2.55
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,273,2.47
38.242.158.2,443,443,true,DUS,Europe,Düsseldorf,285,2.29
46.101.243.68,443,443,true,FRA,Europe,Frankfurt,272,2.29
193.36.132.250,443,443,true,AMS,Europe,Amsterdam,216,2.25
51.20.114.116,443,443,true,ARN,Europe,Stockholm,220,2.19
89.27.8.25,443,443,true,CPH,Europe,Copenhagen,256,2.18
34.89.222.47,443,443,true,FRA,Europe,Frankfurt,252,2.13
34.154.116.167,443,443,true,FRA,Europe,Frankfurt,246,2.08
80.76.32.165,443,443,true,FRA,Europe,Frankfurt,165,2.02
185.103.253.35,443,443,true,FRA,Europe,Frankfurt,179,2.01
45.147.51.230,443,443,true,FRA,Europe,Frankfurt,237,2.00
167.172.40.90,443,443,true,AMS,Europe,Amsterdam,289,1.95
45.90.59.204,443,443,true,ZRH,Europe,Zurich,209,1.95
185.233.203.162,443,443,true,AMS,Europe,Amsterdam,223,1.91
185.246.155.73,443,443,true,AMS,Europe,Amsterdam,217,1.91
147.45.76.247,443,443,true,AMS,Europe,Amsterdam,278,1.90
5.42.72.177,443,443,true,ARN,Europe,Stockholm,228,1.87
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,266,1.87
194.36.179.240,443,443,true,SIN,Asia Pacific,Singapore,346,1.84
91.239.148.31,443,443,true,FRA,Europe,Frankfurt,188,1.84
5.61.39.183,443,443,true,FRA,Europe,Frankfurt,237,1.79
34.89.238.145,443,443,true,FRA,Europe,Frankfurt,254,1.77
16.171.60.7,443,443,true,ARN,Europe,Stockholm,199,1.69
34.141.72.133,443,443,true,FRA,Europe,Frankfurt,222,1.67
35.198.99.31,443,443,true,FRA,Europe,Frankfurt,249,1.66
3.18.225.231,443,443,true,ORD,North America,Chicago,189,1.64
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,235,1.58
185.7.33.49,443,443,true,OSL,Europe,Oslo,219,1.57
144.24.189.21,443,443,true,FRA,Europe,Frankfurt,265,1.52
195.62.33.94,443,443,true,FRA,Europe,Frankfurt,225,1.47
3.70.219.196,443,443,true,FRA,Europe,Frankfurt,172,1.46
35.204.45.108,443,443,true,FRA,Europe,Frankfurt,251,1.40
206.189.102.194,443,443,true,AMS,Europe,Amsterdam,284,1.37
45.95.175.212,443,443,true,ZRH,Europe,Zurich,225,1.36
77.238.244.214,443,443,true,AMS,Europe,Amsterdam,247,1.36
13.60.10.128,443,443,true,AMS,Europe,Amsterdam,193,1.33
8.209.72.240,443,443,true,FRA,Europe,Frankfurt,278,1.32
216.238.108.127,443,443,true,GRU,South America,São Paulo,342,1.32
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,233,1.29
185.225.68.232,443,443,true,VIE,Europe,Vienna,208,1.28
147.45.73.223,443,443,true,ARN,Europe,Stockholm,249,1.25
35.234.99.173,443,443,true,FRA,Europe,Frankfurt,237,1.15
188.116.36.68,443,443,true,AMS,Europe,Amsterdam,229,1.14
138.3.248.29,443,443,true,FRA,Europe,Frankfurt,262,1.10
141.147.102.73,443,443,true,FRA,Europe,Frankfurt,276,1.08
18.171.168.33,443,443,true,LHR,Europe,London,201,1.07
109.71.246.196,443,443,true,AMS,Europe,Amsterdam,242,1.04
47.57.13.107,443,443,true,HKG,Asia Pacific,Hong Kong,41,1.00
130.162.169.91,443,443,true,FRA,Europe,Frankfurt,224,0.99
143.47.229.122,443,443,true,FRA,Europe,Frankfurt,273,0.99
141.144.203.59,443,443,true,FRA,Europe,Frankfurt,270,0.98
185.244.210.16,443,443,true,CDG,Europe,Paris,248,0.98
213.199.49.245,443,443,true,DUS,Europe,Düsseldorf,292,0.98
165.227.231.249,443,443,true,LHR,Europe,London,272,0.97
